num_layers,layer_size,activation,learning_rate,dropout,accuracy,precision,recall
1,512,elu,0.001,0,0.5290811339198436,0.45284124194493264,0.4377123442808607
1,512,elu,0.001,0.2,0.5410557184750733,0.4639175257731959,0.40770101925254815
1,512,elu,0.001,0.5,0.5454545454545454,0.4697164948453608,0.412797281993205
1,512,elu,0.01,0,0.5359237536656891,0.4521238300935925,0.3556058890147225
1,512,elu,0.01,0.2,0.5391006842619745,0.46359223300970875,0.43261608154020387
1,512,elu,0.01,0.5,0.5310361681329423,0.455026455026455,0.43827859569648925
1,512,elu,0.1,0,0.5327468230694037,0.44733044733044736,0.3510758776896942
1,512,elu,0.1,0.2,0.5696480938416423,0.5806451612903226,0.010192525481313703
1,512,elu,0.1,0.5,0.5669599217986315,0.46875,0.02548131370328426
1,512,tanh,0.001,0,0.5283479960899315,0.450661853188929,0.42412231030577574
1,512,tanh,0.001,0.2,0.5373900293255132,0.46097111247695144,0.4246885617214043
1,512,tanh,0.001,0.5,0.5334799608993157,0.46186666666666665,0.49037372593431483
1,512,tanh,0.01,0,0.5542521994134897,0.4763843648208469,0.33125707814269534
1,512,tanh,0.01,0.2,0.5300586510263929,0.4521633150517977,0.420158550396376
1,512,tanh,0.01,0.5,0.5466764418377321,0.4654234654234654,0.3391845979614949
1,512,tanh,0.1,0,0.5654936461388075,0.4189189189189189,0.017553793884484713
1,512,tanh,0.1,0.2,0.5498533724340176,0.4311594202898551,0.1347678369195923
1,512,tanh,0.1,0.5,0.4718963831867058,0.4400606980273141,0.8210645526613817
1,1024,elu,0.001,0,0.5305474095796676,0.4541691306918983,0.434881087202718
1,1024,elu,0.001,0.2,0.5300586510263929,0.4554736245036869,0.4546998867497169
1,1024,elu,0.001,0.5,0.5466764418377321,0.47104749512036437,0.4099660249150623
1,1024,elu,0.01,0,0.5246823069403714,0.4518558364712211,0.47565118912797283
1,1024,elu,0.01,0.2,0.5373900293255132,0.4551236749116608,0.3646659116647792
1,1024,elu,0.01,0.5,0.5369012707722385,0.45109931766489764,0.3369195922989808
1,1024,elu,0.1,0,0.5405669599217986,0.41642228739002934,0.16081540203850508
1,1024,elu,0.1,0.2,0.5156402737047898,0.4359430604982206,0.4161947904869762
1,1024,elu,0.1,0.5,0.5625610948191594,0.4868131868131868,0.2508493771234428
1,1024,tanh,0.001,0,0.5373900293255132,0.46149181322013344,0.4309173272933182
1,1024,tanh,0.001,0.2,0.5339687194525904,0.45750452079566006,0.4297848244620612
1,1024,tanh,0.001,0.5,0.5361681329423265,0.45955882352941174,0.4246885617214043
1,1024,tanh,0.01,0,0.5342130987292277,0.4605411499436302,0.4626274065685164
1,1024,tanh,0.01,0.2,0.5383675464320625,0.46354475400118555,0.44280860702151753
