n_estimators,max_depth,max_features,accuracy,precision,recall
25,20,log2,0.5613198900091658,0.48416974739892876,0.4994074363278525
50,20,log2,0.5629697525206233,0.388706400715413,0.49994694631693043
100,20,log2,0.5631530705774519,0.33158039294476743,0.5000156707101906
25,20,sqrt,0.5640696608615949,0.5375021225724652,0.5070254662780639
50,20,sqrt,0.5665750076382523,0.5774810911576687,0.5060024623430619
100,20,sqrt,0.5636419187289949,0.541982733021063,0.501531788691535
25,20,0.1,0.555331500152765,0.5144335626747326,0.5051960887973966
50,20,0.1,0.5601588756492515,0.5243655574981212,0.506390999973489
100,20,0.1,0.5622975863122518,0.5315873285389706,0.5058901077547459
25,20,0.2,0.5556370302474793,0.5189429399656568,0.5081505844103247
50,20,0.2,0.5627253284448518,0.5342803373202217,0.5108665552921448
100,20,0.2,0.5626642224259089,0.5339307233873185,0.5085845273859804
25,40,log2,0.5536205316223648,0.5067219633440365,0.5020148691565025
50,40,log2,0.5591200733272228,0.5064673018271995,0.5007791409949862
100,40,log2,0.5624809043690804,0.5109624413771321,0.5006740907283349
25,40,sqrt,0.5547204399633363,0.5219805425800402,0.5117299979769476
50,40,sqrt,0.5595478154598228,0.5254060899834121,0.5093795865097542
100,40,sqrt,0.5627253284448518,0.5325476452903026,0.5080434468825578
25,40,0.1,0.5455545371219065,0.5139733179561075,0.5095983432875926
50,40,0.1,0.5517262450351359,0.5167037937885276,0.5092570257446218
100,40,0.1,0.5570424686831652,0.5229232081583377,0.5107940741796004
25,40,0.2,0.5478765658417355,0.5190502490434296,0.5135423585602803
50,40,0.2,0.5525206232813933,0.52075120123796,0.5123634240044348
100,40,0.2,0.5550259700580507,0.521097931807845,0.5103989815837767
25,80,log2,0.5405438435685915,0.5049109515126947,0.5031576632172096
50,80,log2,0.55074854873205,0.5106544297280614,0.5050647465403111
100,80,log2,0.5582645890620227,0.5177605360980777,0.5048829256287746
25,80,sqrt,0.5397494653223343,0.5088141674651339,0.5065135712574956
50,80,sqrt,0.5509929728078216,0.518945202329476,0.5117283124131252
100,80,sqrt,0.5602810876871371,0.5304037956433719,0.5146414237891613
25,80,0.1,0.5387106630003056,0.5132935807912188,0.5108469136066653
50,80,0.1,0.5431714023831348,0.5136397434639954,0.5099602292052529
100,80,0.1,0.5527650473571646,0.5227220238710559,0.5145878997129483
25,80,0.2,0.5388328750381912,0.5147182054339882,0.5122903993308929
50,80,0.2,0.5500763825236785,0.5245959254012198,0.5186955969323988
100,80,0.2,0.5534372135655362,0.5258087941767504,0.5175853781640481
