num_layers,layer_size,activation,learning_rate,accuracy,precision,recall
1,500,relu,0.001,0.5334799608993157,0.47885572139303484,0.41825095057034223
1,500,relu,0.01,0.5276148582600195,0.4676056338028169,0.36067354698533405
1,500,relu,0.1,0.5449657869012707,0.48180242634315423,0.1510048886474742
1,500,elu,0.001,0.5232160312805474,0.46726190476190477,0.42639869636067357
1,500,elu,0.01,0.5163734115347018,0.4634533898305085,0.4752851711026616
1,500,elu,0.1,0.4687194525904203,0.4518647007805724,0.8489951113525258
1,500,tanh,0.001,0.5303030303030303,0.4739214423696072,0.3997827267789245
1,500,tanh,0.01,0.5163734115347018,0.4566582914572864,0.3948940793047257
1,500,tanh,0.1,0.5136852394916911,0.4458968772694263,0.33351439435089625
1,1000,relu,0.001,0.5383675464320625,0.4828571428571429,0.36719174361759915
1,1000,relu,0.01,0.531524926686217,0.4732394366197183,0.3650190114068441
1,1000,relu,0.1,0.5464320625610948,0.44360902255639095,0.03204780010863661
1,1000,elu,0.001,0.531524926686217,0.4767726161369193,0.4236827810972298
1,1000,elu,0.01,0.5075757575757576,0.4406548431105048,0.3508962520369365
1,1000,elu,0.1,0.4572336265884653,0.4489247311827957,0.9071156979902227
1,1000,tanh,0.001,0.5224828934506354,0.463618802318094,0.3910917979359044
1,1000,tanh,0.01,0.489980449657869,0.44052224371373305,0.4948397609994568
1,1000,tanh,0.1,0.5398338220918866,0.45661157024793386,0.1200434546442151
1,1500,relu,0.001,0.5356793743890518,0.4787616990640749,0.3612167300380228
1,1500,relu,0.01,0.5285923753665689,0.4663093415007657,0.33079847908745247
1,1500,relu,0.1,0.5439882697947214,0.43455497382198954,0.045084193373166756
1,1500,elu,0.001,0.5276148582600195,0.470013037809648,0.3916349809885932
1,1500,elu,0.01,0.5149071358748778,0.44871794871794873,0.34220532319391633
1,1500,elu,0.1,0.477761485826002,0.4488243430152144,0.7050516023900054
1,1500,tanh,0.001,0.5212609970674487,0.46326276463262767,0.40412819120043453
